,Arts,Computer Science,Engineering,Humanities,Mathematics,Miscellaneous,Science
Sat Nov 21: 9:05 to 9:55 AM,5,3,3,8,5,12,9
Sat Nov 21: 10:05 to 10:55 AM,5,4,3,8,4,14,11
Sat Nov 21: 11:05 to 11:55 AM,6,5,1,6,9,15,10
Sat Nov 21: 12:05 to 12:55 PM,8,6,2,5,8,16,7
Sat Nov 21: 2:05 to 2:55 PM,10,3,5,9,8,15,7
Sat Nov 21: 3:05 to 3:55 PM,10,3,5,11,7,13,9
Sat Nov 21: 4:05 to 4:55 PM,11,4,1,11,5,11,9
Sat Nov 21: 5:05 to 5:55 PM,7,4,1,10,3,14,10
Sat Nov 21: 7:05 to 7:55 PM,4,3,5,10,4,9,10
Sat Nov 21: 8:05 to 8:55 PM,4,3,4,10,4,11,9
Sat Nov 21: 9:05 to 9:55 PM,3,3,3,3,3,12,6
Sun Nov 22: 9:05 to 9:55 AM,4,4,3,12,3,7,8
Sun Nov 22: 10:05 to 10:55 AM,4,6,5,14,3,10,7
Sun Nov 22: 11:05 to 11:55 AM,5,3,1,12,7,11,10
Sun Nov 22: 12:05 to 12:55 PM,3,3,4,14,8,8,8
Sun Nov 22: 2:05 to 2:55 PM,8,5,3,18,4,9,10
Sun Nov 22: 3:05 to 3:55 PM,8,5,4,14,4,12,10
Sun Nov 22: 4:05 to 4:55 PM,4,6,4,7,7,12,10
Sun Nov 22: 5:05 to 5:55 PM,5,5,4,7,9,12,9
Sun Nov 22: 6:05 to 6:55 PM,6,5,4,3,7,12,8
